codice,"sito associazione",telefono
1,http://ciboenonsolo.it/,"393 1442130"
2,http://ciboenonsolo.it/,"340 5731992"
3,http://www.art-musica.it,345-0472569
4,http://www.art-musica.it,05430821008
5,http://www.artcityemiliaromagna.com,02052390347
6,http://www.lafattoriaincitta.org/,3470174342
7,http://www.lafattoriaincitta.org/,"049 605855"
8,http://www.lafattoriaincitta.org/,"049 611273"
9,http://comunicazioneinform.it,339.357.8989
10,http://www.artmusicevent.eu/,049.2022338
11,http://cultura.regione.emilia-romagna.it,800.625.903
12,http://www.provincia.pd.it,049.820.1111
13,http://www.provincia.pd.it,049.820.1235
14,http://www.provincia.pd.it,800800820
15,http://www.ascomini1885.org/,"049 632287"
16,http://www.ascomini1885.org/,"339 6217355"
17,http://www.lamusicainterna.it,"051 266959"
18,http://www.provincia.ra.it,"0544 258001"
19,http://www.provincia.ra.it,"0544 258111"
20,http://www.provincia.ra.it,"0544 258070"
21,http://www.asdliberaespressione.it/,"	3287697071"
22,http://www.corosantospirito.it/,"340 9732184"
23,http://www.lapiazzaelira.it,"0445 575688"
24,http://www.laprimaweb.it,01717320442
25,http://emilia-romagna.1254.it,"0536 889798"
26,http://emilia-romagna.1254.it,"0523 788734"
27,http://emilia-romagna.1254.it,"0544 270379"
28,http://emilia-romagna.1254.it,"0532 977284"
29,http://emilia-romagna.1254.it,"0543 767436"
30,http://emilia-romagna.1254.it,"0532 761206"
31,http://emilia-romagna.1254.it,"0521 966072"
32,http://emilia-romagna.1254.it,"0532 248460"
33,http://www.provincia.re.it,0522.444111
34,http://www.provincia.re.it,0522.444108
35,http://www.asemitalia.org,"049 8977886"
36,http://www.asemitalia.org,"049 8978398"
37,http://www.asemitalia.org,"345 1273860"
38,http://www.asemitalia.org,"348 7975481"
39,http://www.asemitalia.org,"340 1464143"
40,http://www.asemitalia.org,"328 7233884"
41,http://www.lasferadanza.it/,340.8418144
42,http://www.lasferadanza.it/,049.8360638
43,http://www.lasferadanza.it/,04086550284
44,http://www.psicologisenzafrontiere.org,"049 663794"
45,http://www.latenda.org,"049 8075906"
46,http://www.cospe.org,"0039 055 4735"
47,http://www.cospe.org,"0039 055 4728"
48,http://www.cospe.org,"0039 051 5466"
49,http://www.cospe.org,"0039 051 5471"
50,http://www.cospe.org,"0039 010 2465"
51,http://www.cospe.org,"055 473556"
